cod_eve,fec_not,semana,año,cod_pre,cod_sub,cod_mun_,num_con,gru_1,gru_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,grupo_10,grupo_11,grupo_12,grupo_13,grupo_14,grupo_15,grupo_16,grupo_17,grupo_18,cas_sos,cas_pro,cas_conl,cas_conc,cas_conn,hombres,mujeres,vivos,muertos,pte_hos,pte_amb,cod_dpto_p,cod_mun_pr,bar_sector,sospe_even,cual_ot_ev,ajuste,fec_aju,version_a,nit_upgd,nom_upgd,ndep_notif,nmun_notif,ndep_proce,nmun_proce,version_b,unnamed:_52,unnamed:_53,suma_fed,suma_fed_<5,archivo_origen,carpeta_evento
998,2025-01-03,1,2025,7300171330,01,73001,1100200054,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,,,,7,,2,5,7,,0,7,73,001,000000000,,,0,03/01/2025,,80014012,UNIDAD PRESTADORA DE SALUD TOLIMA,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,7,1,3,1,BD-998.xlsx,raw
998,2025-01-04,1,2025,7300100532,01,73001,1100200554,0,1,0,0,1,0,1,2,0,0,2,0,0,1,0,0,0,0,,,,8,,7,1,8,0,0,8,73,001,MACARENA,,,0,04/01/2025,,809007943,CLINICA INTEGRAL PROVIDA SAS,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,8,1,1,1,BD-998.xlsx,raw
998,2025-01-04,1,2025,7367500705,01,73675,1100200869,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,,,,4,,2,2,4,0,0,4,73,675,BARRIO DOCE DE OCTUBRE ,,,0,04/01/2025,,8907019223,HOSPITAL LA MISERICORDIA ESE,TOLIMA,SAN ANTONIO,TOLIMA,SAN ANTONIO,,4,0,0,0,BD-998.xlsx,raw
998,2025-02-22,8,2025,7300100771,26,73001,1100223546,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,0,1,1,0,0,1,73,001,USIESE,,,0,24/02/2025,,8090035902,CENTRO DE SALUD LA CIMA,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,1,1,0,1,BD-998.xlsx,raw
998,2025-02-22,8,2025,7326802822,08,73268,1100223164,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,4,,3,1,4,0,0,4,73,268,SAN RAFAEL ,,,0,24/02/2025,,800003765,VIRREY SOLIS IPS SA SAN RAFAEL,TOLIMA,ESPINAL,TOLIMA,ESPINAL,,4,1,0,1,BD-998.xlsx,raw
998,2025-02-22,8,2025,7300100771,03,73001,1100223980,0,3,1,1,2,2,2,1,2,0,0,0,0,1,0,1,0,2,,,,18,,7,11,18,0,0,18,73,001,USIESE,,,0,24/02/2025,,8090035902,UNIDAD INTERMEDIA DEL SALADO  ,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,18,3,4,3,BD-998.xlsx,raw
998,2025-02-22,8,2025,7300100771,02,73001,1100224485,0,3,0,1,0,1,1,1,0,1,0,1,0,1,1,2,2,0,,,,15,,6,9,15,,0,15,73,001,USIE,,,0,24/02/2025,,8090035902,UNIDAD INTERMEIDA SUR,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,15,3,6,3,BD-998.xlsx,raw
998,2025-02-22,8,2025,7344900111,01,73449,1100224581,0,3,4,5,5,5,6,1,4,3,2,4,1,2,3,0,2,0,,,,50,,25,25,50,0,0,50,73,449,SIN INFORMACION,,,0,24/02/2025,,8300275783,TORRES Y JARAMILLO LTDA,TOLIMA,MELGAR,TOLIMA,MELGAR,,50,3,7,3,BD-998.xlsx,raw
998,2025-02-22,8,2025,7300102174,01,73001,1100225062,1,3,4,2,1,12,7,9,4,4,1,7,5,4,3,0,3,4,,,,74,,36,38,74,0,4,70,73,001,VARSOVIA,,,0,24/02/2025,,8050234231,CLINICA NUESTRA SEDE IBAGUE,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,74,4,14,4,BD-998.xlsx,raw
998,2025-02-22,8,2025,7300100532,01,73001,1100225283,0,1,1,1,0,0,3,0,1,1,0,2,1,0,1,0,0,1,,,,13,,8,5,13,0,0,13,73,001,MACARENA,,,0,25/02/2025,,809007943,CLINICA INTEGRAL PROVIDA SAS,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,13,1,2,1,BD-998.xlsx,raw
998,2025-03-01,9,2025,7300102875,07,73001,1100226058,0,0,1,0,0,1,1,0,0,3,0,1,0,0,1,1,0,1,,,,10,,3,7,10,0,0,10,73,001,VIVA 1A ,,,0,01/03/2025,,900219120,VIVA 1A IPS SA,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,10,0,3,0,BD-998.xlsx,raw
998,2025-04-12,15,2025,7300100771,62,73001,1100254443,0,9,2,2,0,3,1,2,1,0,1,2,3,0,2,1,1,0,,,,30,,10,20,30,0,0,30,73,001,USIESE,,,0,14/04/2025,,8090035902,UNIDAD DE SALUD DE IBAGUE SEDE SANFRANCISCO,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,30,9,4,9,BD-998.xlsx,raw
998,2025-04-12,15,2025,7300100771,71,73001,1100254522,0,1,0,0,1,1,2,0,1,0,0,1,2,1,1,0,0,0,,,,11,,4,7,11,0,0,11,73,001,USIESE,,,0,14/04/2025,,8090035902,UNIDAD DE SALUD SEDE PICALEÑA ,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,11,1,2,1,BD-998.xlsx,raw
998,2025-04-19,16,2025,7304301056,01,73043,1100255466,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,1,,0,1,1,0,0,1,73,043,,,,0,19/04/2025,,8001635101,HOSPITAL SAN JUAN DE DIOS EMPRESA SOCIAL DEL ESTAD,TOLIMA,ANZOATEGUI,TOLIMA,ANZOATEGUI,,1,0,0,0,BD-998.xlsx,raw
998,2025-04-19,16,2025,7300185175,80,73001,1100255822,0,3,3,2,3,0,1,0,1,3,1,0,2,0,0,0,0,1,,,,20,,10,10,20,,,20,73,001,ESM BAS06,,,0,20/04/2025,,8300346705,BATALLON DE ASPC NO 6 FRANCISCO ANTONIO ZEA,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,20,3,1,3,BD-998.xlsx,raw
998,2025-04-19,16,2025,7326802875,04,73268,1100256104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,1,,0,1,1,0,0,1,73,268,VIVA 1A,,,,21/04/2025,,900219120,VIVA1A,TOLIMA,ESPINAL,TOLIMA,ESPINAL,,1,0,1,0,BD-998.xlsx,raw
998,2025-02-08,6,2025,7300102096,01,73001,1100216499,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,,3,3,6,0,0,6,73,001,SIN INFORMACION,,,0,10/02/2025,,8300010077,UNIDAD MEDICA DE DIAGNOSTICO COLMEDICA,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,6,3,0,3,BD-998.xlsx,raw
998,2025-02-08,6,2025,7344371133,00,73443,1100216952,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,2,,2,0,2,0,0,2,73,443,ESCUELA DE AVIACIÓN POLICÍAL ,,,0,10/02/2025,,9004864391,ESPRI-BAAVA,TOLIMA,MARIQUITA,TOLIMA,MARIQUITA,,2,0,0,0,BD-998.xlsx,raw
998,2025-02-08,6,2025,7300100966,04,73001,1100217454,3,5,3,5,5,1,5,3,6,2,0,1,1,0,2,3,3,12,,,,60,,24,36,60,0,6,54,73,001,LA SAMARIA,,,0,10/02/2025,,8002541326,MEDICADIZ SAS SEDE SAMARIA,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,60,8,20,8,BD-998.xlsx,raw
