student_id,historical_gpa,credits_completed,academic_periods_completed,last_update
10001,3.8,92,8,2026-02-28
10002,3.48,65,1,2026-02-28
10003,3.87,114,4,2026-02-28
10004,4.31,172,3,2026-02-28
10005,3.43,180,11,2026-02-28
10006,3.43,110,3,2026-02-28
10008,4.34,53,2,2026-02-28
10009,3.93,77,6,2026-02-28
10010,3.32,20,1,2026-02-28
10011,3.82,107,11,2026-02-28
10012,3.32,69,1,2026-02-28
10013,3.32,122,11,2026-02-28
10014,3.67,123,12,2026-02-28
10015,2.59,80,4,2026-02-28
10016,2.69,102,2,2026-02-28
10017,3.27,162,2,2026-02-28
10018,3.04,24,2,2026-02-28
10019,3.71,145,2,2026-02-28
10021,3.1,16,2,2026-02-28
10022,2.84,104,1,2026-02-28
10023,4.28,24,6,2026-02-28
10024,3.44,127,2,2026-02-28
10025,3.58,126,12,2026-02-28
10026,2.84,44,8,2026-02-28
10027,3.28,28,2,2026-02-28
10028,3.61,121,2,2026-02-28
10029,2.97,30,1,2026-02-28
10030,3.74,56,6,2026-02-28
10031,3.25,21,2,2026-02-28
10032,3.4,60,3,2026-02-28
10033,3.25,78,2,2026-02-28
10034,4.48,49,10,2026-02-28
10035,3.54,17,4,2026-02-28
10036,3.02,92,4,2026-02-28
10037,3.96,140,12,2026-02-28
10038,2.94,103,7,2026-02-28
10039,3.65,52,2,2026-02-28
10041,2.57,83,2,2026-02-28
10042,2.89,44,2,2026-02-28
10043,3.65,73,7,2026-02-28
10044,3.92,58,7,2026-02-28
10045,3.64,22,2,2026-02-28
10046,3.49,79,5,2026-02-28
10047,3.4,14,2,2026-02-28
10048,2.81,42,6,2026-02-28
10049,3.19,75,11,2026-02-28
10050,3.32,21,2,2026-02-28
10051,4.08,56,2,2026-02-28
10052,3.72,49,3,2026-02-28
10053,2.67,166,1,2026-02-28
10054,3.71,90,8,2026-02-28
10055,3.36,109,2,2026-02-28
10056,3.21,78,8,2026-02-28
10057,3.86,165,10,2026-02-28
10058,4.07,14,1,2026-02-28
10059,4.02,106,6,2026-02-28
10062,3.13,64,7,2026-02-28
10063,3.4,72,7,2026-02-28
10064,3.72,47,5,2026-02-28
10065,4.04,70,8,2026-02-28
10066,3.31,180,2,2026-02-28
10067,3.46,86,10,2026-02-28
10068,3.0,68,1,2026-02-28
10069,2.95,117,4,2026-02-28
10070,3.96,65,1,2026-02-28
10071,4.23,61,5,2026-02-28
10072,3.51,152,12,2026-02-28
10073,4.05,136,7,2026-02-28
10074,3.73,138,12,2026-02-28
10075,3.23,49,1,2026-02-28
10076,3.73,67,5,2026-02-28
10077,4.32,14,3,2026-02-28
10079,3.53,14,2,2026-02-28
10080,4.33,79,9,2026-02-28
10081,2.24,22,4,2026-02-28
10082,3.96,159,11,2026-02-28
10083,3.59,180,11,2026-02-28
10084,3.4,79,2,2026-02-28
10087,3.6,87,7,2026-02-28
10088,2.56,78,1,2026-02-28
10089,3.44,39,1,2026-02-28
10090,3.73,51,1,2026-02-28
10091,4.29,142,10,2026-02-28
10092,3.29,27,3,2026-02-28
10093,3.15,70,2,2026-02-28
10094,3.3,61,12,2026-02-28
10095,4.01,77,12,2026-02-28
10096,3.71,24,2,2026-02-28
10097,3.29,123,6,2026-02-28
10098,3.81,150,9,2026-02-28
10099,3.6,164,5,2026-02-28
10100,4.03,69,6,2026-02-28
10101,3.2,32,6,2026-02-28
10102,3.39,53,2,2026-02-28
10103,3.35,51,6,2026-02-28
10104,2.82,102,5,2026-02-28
10105,3.7,127,2,2026-02-28
10106,3.68,105,12,2026-02-28
10107,3.55,14,4,2026-02-28
10108,3.43,53,5,2026-02-28
10109,2.84,47,1,2026-02-28
10110,3.34,67,3,2026-02-28
10111,3.38,131,3,2026-02-28
10112,3.15,52,2,2026-02-28
10113,3.47,15,2,2026-02-28
10114,3.75,56,1,2026-02-28
10115,4.49,53,1,2026-02-28
10116,3.64,39,1,2026-02-28
10117,3.68,54,3,2026-02-28
10118,3.51,60,3,2026-02-28
10119,2.59,82,1,2026-02-28
10120,3.54,154,12,2026-02-28
10121,3.58,113,4,2026-02-28
10122,4.78,89,4,2026-02-28
10123,3.45,50,6,2026-02-28
10124,3.7,112,5,2026-02-28
10125,3.53,28,5,2026-02-28
